signal_key,scored_at,event_start,f1,f2,selected_fighter,selected_side,tier,counts_prospective,discovery_lag_h,open_q_sel,entry_q_sel,entry_consensus_dec,best_dec,best_book,min_acceptable_dec,min_acceptable_amer,actionable_now,p_market,ev_entry,steam_prob,pred_clv_pp,stake_fraction,open_n_books,open_source,fighters_matched,division_used,model_id,policy_id,entry_consensus_amer,best_amer,stake_usd
aleksandar rakic|marcin tybura|2026-08-01,2026-08-05 18:05:53.503686+00:00,2026-08-01 18:45:00+00:00,aleksandar rakic,marcin tybura,aleksandar rakic,favorite,none,False,236.2,0.74318,0.76095,1.2537,1.2985,Pinnacle,1.3246,-308,False,0.77006,-0.03461,0.55622,0.085,0.0,1.0,pinnacle,True,Heavyweight,MOV-MKT-2,MOV-HOLD-2,-394,-335,0.0
alexander poppeck|jovan leka|2026-08-01,2026-08-05 18:05:53.503686+00:00,2026-08-01 14:30:00+00:00,alexander poppeck,jovan leka,alexander poppeck,underdog,none,False,236.2,0.33572,0.2724,3.5,3.8,Caesars,3.1437,+214,False,0.32446,0.1356,0.47571,0.024,0.0,1.0,pinnacle,True,Heavyweight,MOV-MKT-2,MOV-HOLD-2,+250,+280,0.0
alexia thainara|amanda lemos|2026-08-08,2026-08-05 18:05:53.503686+00:00,2026-08-08 21:00:00+00:00,alexia thainara,amanda lemos,,,excluded_womens,False,,,,,,,,,,,,,,0.0,,,,,MOV-MKT-2,MOV-HOLD-2,,,0.0
billy quarantillo|diego ferreira|2026-08-08,2026-08-05 18:05:53.503686+00:00,2026-08-08 21:00:00+00:00,billy quarantillo,diego ferreira,billy quarantillo,underdog,none,False,122.6,0.4046,0.38614,2.46,2.51,Pinnacle,2.5446,+154,False,0.40085,-0.01391,0.48179,0.083,0.0,1.0,pinnacle,True,Lightweight,MOV-MKT-2,MOV-HOLD-2,+146,+151,0.0
billy ray goff|ty miller|2026-08-08,2026-08-05 18:05:53.503686+00:00,2026-08-08 21:00:00+00:00,billy ray goff,ty miller,ty miller,favorite,none,False,122.6,0.71263,0.74374,1.2754,1.2857,BetWay,1.3637,-275,False,0.74796,-0.04606,0.62408,1.328,0.0,1.0,pinnacle,True,Welterweight,MOV-MKT-2,MOV-HOLD-2,-363,-350,0.0
bogdan grad|dennis buzukja|2026-08-01,2026-08-05 18:05:53.503686+00:00,2026-08-01 15:40:00+00:00,bogdan grad,dennis buzukja,dennis buzukja,underdog,none,False,236.2,0.38692,0.34699,2.8,2.8,Pinnacle,2.7315,+173,False,0.37342,0.04556,0.43916,-0.689,0.0,1.0,pinnacle,True,Featherweight,MOV-MKT-2,MOV-HOLD-2,+180,+180,0.0
borislav nikolic|mark vologdin|2026-08-01,2026-08-05 18:05:53.503686+00:00,2026-08-01 16:00:00+00:00,borislav nikolic,mark vologdin,mark vologdin,underdog,none,False,215.6,0.38075,0.34875,2.742,2.9,Caesars,2.7551,+176,False,0.37022,0.01515,0.4592,-0.365,0.0,1.0,pinnacle,True,Bantamweight,MOV-MKT-2,MOV-HOLD-2,+174,+190,0.0
bruno lopes|diyar nurgozhay|2026-08-08,2026-08-05 18:05:53.503686+00:00,2026-08-08 21:00:00+00:00,bruno lopes,diyar nurgozhay,diyar nurgozhay,favorite,B,True,122.6,0.57942,0.57583,1.6483,1.6757,BetRivers,1.6316,-158,False,0.62515,0.03041,0.74983,3.925,0.0,1.0,pinnacle,True,Light Heavyweight,MOV-MKT-2,MOV-HOLD-2,-154,-148,10.0
charles johnson|jose ochoa|2026-08-15,2026-08-05 18:05:53.503686+00:00,2026-08-15 21:00:00+00:00,charles johnson,jose ochoa,jose ochoa,favorite,A,True,25.8,0.72241,0.74468,1.2857,1.3058,Pinnacle,1.2965,-337,True,0.78671,0.01149,0.75626,3.507,0.003333,1.0,pinnacle,True,Flyweight,MOV-MKT-2,MOV-HOLD-2,-350,-327,33.33
daniel rodriguez|uros medic|2026-08-01,2026-08-05 18:05:53.503686+00:00,2026-08-01 19:45:00+00:00,daniel rodriguez,uros medic,uros medic,favorite,none,False,236.2,0.75311,0.76465,1.246,1.2703,Caesars,1.2608,-383,False,0.80901,0.00803,0.6918,2.217,0.0,1.0,pinnacle,True,Welterweight,MOV-MKT-2,MOV-HOLD-2,-407,-370,0.0
darren elkins|yadier del valle|2026-08-08,2026-08-05 18:05:53.503686+00:00,2026-08-08 21:00:00+00:00,darren elkins,yadier del valle,yadier del valle,favorite,none,False,122.6,0.81481,0.84672,1.1263,1.1541,BetWay,1.1825,-548,False,0.86257,-0.02845,0.63633,0.259,0.0,1.0,pinnacle,True,Featherweight,MOV-MKT-2,MOV-HOLD-2,-792,-649,0.0
