claim,reported,computed,diff,status
nested rows (STATS),3007.0,3007.0,0.0,PASS
nested R2,0.0656,0.06557497153036607,-2.5028469633939232e-05,PASS
nested dir acc,0.6023,0.6022613900897905,-3.860991020943061e-05,PASS
2026 rows,227.0,227.0,0.0,PASS
2026 R2,0.1038,0.1038196305558654,1.9630555865401966e-05,PASS
2026 dir acc,0.6388,0.6387665198237885,-3.3480176211519996e-05,PASS
pre2026 qualified n,172.0,172.0,0.0,PASS
pre2026 flat ROI,0.088,0.0879903488372093,-9.651162790696999e-06,PASS
pre2026 ROI lo,0.0227,0.02267040874447908,-2.9591255520922816e-05,PASS
pre2026 ROI hi,0.1533,0.15331028892993953,1.0288929939539226e-05,PASS
pre2026 CLV,3.13,3.130375156250275,0.00037515625027495503,PASS
pre2026 CLV lo,2.44,2.4363014709954656,-0.003698529004534379,PASS
pre2026 CLV hi,3.82,3.824448841505084,0.004448841505084289,PASS
funnel EV>=1%,112.0,112.0,0.0,PASS
funnel +CLV>=2,75.0,75.0,0.0,PASS
funnel all gates,23.0,23.0,0.0,PASS
qualified csv rows,23.0,23.0,0.0,PASS
2026 flat ROI,0.2363,0.23634105209886674,4.1052098866734e-05,PASS
2026 ROI lo,0.012,0.011986574204166905,-1.3425795833094806e-05,PASS
2026 ROI hi,0.4607,0.46069552999356655,-4.47000643344353e-06,PASS
2026 CLV,6.22,6.2231515553598635,0.003151555359863778,PASS
2026 CLV lo,2.96,2.9573241698622046,-0.0026758301377953764,PASS
2026 CLV hi,9.49,9.488978940857523,-0.0010210591424772986,PASS
ending bankroll,1.027739895,1.0277398949842511,-1.5748957693517696e-11,PASS
total staked,0.101251,0.10125069823412419,-3.0176587580144076e-07,PASS
max drawdown,0.001759,0.0017592666666667034,2.6666666670346374e-07,PASS
stakes csv sum,0.101251,0.10125069823412322,-3.017658767728859e-07,PASS
stakes csv pnl,0.027739895,0.0277398949842504,-1.5749599541203807e-11,PASS
pre excess ROI,0.0204,0.02041225242708489,1.2252427084889078e-05,PASS
pre excess ROI lo,-0.0448,-0.04478469917313263,1.5300826867369055e-05,PASS
pre excess ROI hi,0.0856,0.0856092040273024,9.204027302409101e-06,PASS
pre excess CLV,1.267,1.267028197612762,2.819761276207089e-05,PASS
pre excess CLV lo,0.6396,0.6396302309148538,3.0230914853879298e-05,PASS
pre excess CLV hi,1.894,1.8944261643106701,0.0004261643106702184,PASS
2026 excess ROI,0.176,0.1759720244685369,-2.7975531463081404e-05,PASS
2026 excess ROI lo,-0.054,-0.05405325185304319,-5.325185304318886e-05,PASS
2026 excess ROI hi,0.406,0.405997300790117,-2.6992098830502798e-06,PASS
2026 excess CLV,4.02,4.020738376194666,0.0007383761946666567,PASS
2026 excess CLV lo,0.972,0.972117955451663,0.00011795545166304322,PASS
2026 excess CLV hi,7.069,7.069358796937669,0.0003587969376690481,PASS
dog share of pnl,0.5684,0.5684464615615682,4.646156156817849e-05,PASS
