fight_id,pred_delta_live,p_steam_live,pred_qclose_live,p_mkt_live,event_id,event_date,year,fold,movement_spec,f1_name,f2_name,division,selected_side,selected_fighter,selected_odds,selected_p_market,selected_ev,selected_steam_prob,pred_clv_pp,realized_clv_pp,pred_qclose_fav,qfav_opening,qfav_closing,prob_fav_steams,pred_delta_fav,selected_won,unit_return,kelly_raw,result,movement_alpha,direction_C,sel_fav_live,ev_live,steam_sel_live,clv_live,qual_live,qual_ship
267,0.10664594021628643,0.6498612146469979,0.6816522224462641,0.6933755200945884,25,2026-01-24,2026,2026,MOV_MKT_STATS,justin gaethje,paddy pimblett,Lightweight,favorite,paddy pimblett,1.44444,0.7064271630368435,0.0203916513769382,0.714176250832464,3.5187009485356024,2.050514716085205,0.6932623993595168,0.6580753898741608,0.6785805370350129,0.714176250832464,0.1606866846081249,0,-1.0,0.0458816744148551,1,100,0.01,True,0.0015393362454272363,0.6498612146469979,2.35768325721033,False,False
268,-0.0764493650313401,0.42261143732564294,0.6440680207791886,0.6518857341471362,25,2026-01-24,2026,2026,MOV_MKT_STATS,sean o'malley,song yadong,Bantamweight,favorite,sean o'malley,1.4386,0.667921979675448,-0.0391274400389004,0.4925021201224123,-0.2680309526243207,-0.1839599795499524,0.6587140321392465,0.6613943416654897,0.6595547418699902,0.4925021201224123,-0.0119453079672308,1,0.4386000000000001,0.0,1,100,0.01,False,-0.02179891295345282,0.5773885626743571,1.732632088630115,False,False
269,0.13334111075743868,0.7075531847599141,0.7366779333080333,0.7563013501857104,25,2026-01-24,2026,2026,MOV_MKT_STATS,waldo cortes-acosta,derrick lewis,Heavyweight,favorite,waldo cortes-acosta,1.33557,0.7549472131284551,0.0082848494379708,0.703759280918531,2.5508651486561007,1.8537849806666395,0.7355184874026366,0.7100098359160756,0.728547685722742,0.703759280918531,0.1273725044727648,1,0.3355699999999999,0.0246888858895932,1,100,0.01,True,0.010093394267529199,0.7075531847599141,2.6668097391957746,False,False
270,0.011676978754552113,0.5518113328927043,0.6651805324350814,0.6750544564151567,25,2026-01-24,2026,2026,MOV_MKT_STATS,arnold allen,jean silva,Featherweight,favorite,jean silva,1.43103,0.6835532585431106,-0.0218147804270525,0.5919808888823438,1.0271606232460706,-0.6070660327781474,0.6728464995956296,0.6625748933631689,0.6565042330353874,0.5919808888823438,0.0462977202378876,1,0.43103,0.0,0,100,0.01,True,-0.03397682123621826,0.5518113328927043,0.2605639071912469,False,False
272,0.10904931615378348,0.7580591210594343,0.8705462627575126,0.9165773665942565,25,2026-01-24,2026,2026,MOV_MKT_STATS,ateba gautier,andrey pulyaev,Middleweight,favorite,ateba gautier,1.11111,0.9262376085956135,0.0291518692866723,0.8234939333967618,2.1260241021497706,1.2832196069341384,0.8790128523661082,0.8577526113446104,0.8705848074139518,0.8234939333967618,0.1863671863621033,1,0.11111,0.2623694472745237,1,100,0.01,True,0.018418277796544258,0.7580591210594343,1.2793651412902118,False,True
273,-0.020922654629050894,0.5011767307165299,0.6253824230874606,0.6316475885800237,25,2026-01-24,2026,2026,MOV_MKT_STATS,nikita krylov,modestas bukauskas,Light Heavyweight,favorite,modestas bukauskas,1.50761,0.6342721887398284,-0.0437649055339474,0.5130508531406999,-0.2453319779401885,-8.115363705365509,0.6278178439660274,0.6302711637454292,0.5491175266917742,0.5130508531406999,-0.0105136176281255,0,-1.0,0.0,1,100,0.01,True,-0.0477217789808706,0.5011767307165299,-0.48887406579686266,False,False
275,-0.010644227660960825,0.5191679943338079,0.6611942995836997,0.6706538013604275,25,2026-01-24,2026,2026,MOV_MKT_STATS,josh hokit,denzel freeman,Heavyweight,underdog,denzel freeman,2.83,0.3372430900149544,-0.0456020552576789,0.5170460012972344,0.9561929433522188,-2.69867587232826,0.6540127449928258,0.663574674426348,0.6905614331496306,0.4829539987027655,-0.0425402844172672,0,-1.0,0.0,1,100,0.01,True,-0.03775933888408589,0.5191679943338079,-0.2380374842648303,False,False
276,0.15792075837386413,0.7227769587415424,0.7292518082796794,0.747649210662138,25,2026-01-24,2026,2026,MOV_MKT_STATS,adam fugitt,ty miller,Welterweight,favorite,ty miller,1.4347826086956523,0.7418054667569676,0.0643295827382579,0.6963933651513172,2.724200322666825,8.93550893550893,0.7242117001963653,0.696969696969697,0.7863247863247863,0.6963933651513172,0.1325410885927685,1,0.4347826086956523,0.1479580402979932,0,100,0.01,True,0.07271408486306763,0.7227769587415424,3.2282111309982375,False,False
271,0.19922962211145298,0.8668279477168507,0.9105547909071321,0.9595281736408388,25,2026-01-24,2026,2026,MOV_MKT_STATS,umar nurmagomedov,deiveson figueiredo,Bantamweight,favorite,umar nurmagomedov,1.0694,0.9617211912750424,0.0284646419495304,0.8806860396123951,1.9905137628063008,0.6496161988883808,0.9128516609427764,0.8929465233147135,0.8994426853035973,0.8806860396123951,0.2277634766642997,1,0.0693999999999999,0.4101533422122551,1,100,0.01,True,0.026119428891512975,0.8668279477168507,1.7608267592418625,False,False
258,0.07916467592176936,0.7192874562126893,0.8554759742348461,0.898927735042396,24,2026-01-31,2026,2026,MOV_MKT_STATS,quillan salkilld,jamie mullarkey,Lightweight,favorite,quillan salkilld,1.14286,0.9068672962114644,0.0364223581482341,0.7597746482511224,1.6793501388618348,2.777584769307728,0.8622038026793232,0.8454103012907048,0.8731861489837821,0.7597746482511224,0.1346683390561854,1,0.14286,0.2549514080094788,1,100,0.01,True,0.02734855127055269,0.7192874562126893,1.006567294414129,False,False
