name_key,as_of_fight_date,name,reach,win_ratio_dec_avg,sig_str_land_per_min_dec_avg,sig_str_def_dec_avg,td_land_per_min_dec_avg,td_def_dec_avg,sub_att_per_min_dec_avg,ko_sub_per_win_dec_avg,division_last,dob
aalon cruz,2021-03-06,aalon cruz,78.0,,,,,,,,Lightweight,1989-09-20
aaron brink,2000-11-17,aaron brink,78.0,,,,,,,,Heavyweight,
aaron phillips,2023-04-15,aaron phillips,71.0,0.493,2.3616511025240645,0.5772896777005645,0.0475665889382352,0.3968093328351929,0.0192080957205134,0.5723402460447293,Bantamweight,1989-08-05
aaron pico,2026-04-11,aaron pico,70.0,0.4996747730133614,3.847769500954389,0.4613725265812755,0.0566394732915159,0.4016055591855856,0.0128,0.3870348017420361,Featherweight,1996-09-23
aaron riley,2013-07-27,aaron riley,69.0,0.4987666945752145,3.39111599743127,0.4007797788705178,0.0964642389299565,0.3472252252999824,0.0155437048857965,0.6232839829740651,Lightweight,1980-12-09
aaron rosa,2012-03-02,aaron rosa,77.0,0.4977883530065622,2.885926794011991,0.542563893109301,0.113234230989385,0.3700936138432656,0.0708602936581576,0.7932851120352957,Light Heavyweight,1983-05-28
aaron simpson,2012-10-05,aaron simpson,73.0,0.502613382042377,3.5407896623704347,0.4642454459549465,0.1879146752342424,0.3023485811833766,0.0248780011245818,0.6155107899731409,Welterweight,1974-07-20
aaron wilkinson,2010-12-04,aaron wilkinson,72.0,,,,,,,,Lightweight,1987-01-31
abdul hussein,2026-07-25,abdul hussein,69.0,0.502502993905208,3.418228586887325,0.4946035610374765,0.068035600078773,0.3641183563284518,0.0510884504942745,0.5812001494187693,Bantamweight,1997-08-02
abdul kareem al selwady,2026-03-21,abdul-kareem al-selwady,69.0,0.507,3.4684,0.4264901440629246,0.0787,0.2210840199595454,0.0538,0.5127108909092892,Lightweight,1995-04-10
abdul kerim edilov,2017-09-02,abdul-kerim edilov,76.0,0.507,3.6809724186099984,0.4583039444613516,0.0474169803123751,0.3623117994927638,0.0103000318961737,0.8569096327298297,Light Heavyweight,1991-11-25
abdul rakhman yakhyaev,2026-06-27,abdul rakhman yakhyaev,78.0,0.507,3.672695804406374,0.4693166948851072,0.2287375911009482,0.3654336734693877,0.122820513576271,0.7919889459067234,Light Heavyweight,2001-01-03
abdul razak alhassan,2025-01-11,abdul razak alhassan,73.0,0.4975524779959757,2.7022823552621458,0.5610924471657395,0.2162508700471696,0.3229974207647461,0.0106492415328807,0.62820089586407,Middleweight,1985-08-11
abel trujillo,2017-12-16,abel trujillo,70.0,0.5006211542197738,4.147512984878117,0.5274890286345021,0.0633169814986886,0.3579855054781821,0.0181155915338086,0.652198206576257,Lightweight,1983-09-18
abner lloveras,2015-12-11,abner lloveras,72.0,,,,,,,,Lightweight,1982-09-04
abu azaitar,2023-10-21,abu azaitar,76.0,0.4969639557771416,5.179703466057408,0.4871583185505973,0.0442882629091391,0.3614527293833915,0.0092,0.6289423792121089,Middleweight,1986-03-10
abubakar nurmagomedov,2023-06-03,abubakar nurmagomedov,72.0,0.5044047175514942,3.2622090064352283,0.3667080678890014,0.0889121664461843,0.2984924251181881,0.0099240090550788,0.594989175085529,Welterweight,1989-11-13
abubakar vagaev,2026-07-25,abubakar vagaev,74.0,,,,,,,,Welterweight,1993-04-14
abus magomedov,2026-06-27,abus magomedov,78.0,0.5008872291380722,3.241930245549069,0.4518941790865593,0.1366795787864278,0.3182956627396077,0.0345505820820128,0.6250150633588534,Middleweight,1990-09-02
adam cella,2013-04-06,adam cella,75.0,,,,,,,,Middleweight,1985-06-26
adam fugitt,2026-01-24,adam fugitt,77.0,0.4982763484529193,3.8981317758959686,0.4669791444099038,0.0990105865373557,0.3650391667718487,0.0127807214351424,0.6023892605045821,Welterweight,1989-01-12
adam milstead,2018-12-15,adam milstead,76.0,0.4985680795375704,3.6162366274467344,0.5559062183772291,0.0352339098308687,0.350501419497812,0.0076041215143193,0.89190438185893,Light Heavyweight,1987-07-03
adam wieczorek,2018-11-03,adam wieczorek,81.0,0.507,2.9606886983666514,0.5214273210693084,0.032166513330479,0.3851088536137752,0.0418626398359848,0.9590134690550224,Heavyweight,1992-02-05
adam yandiev,2018-09-15,adam yandiev,74.0,,,,,,,,Middleweight,1988-08-07
adlan amagov,2013-10-19,adlan amagov,76.0,0.4975832530616718,2.9004579353351545,0.5103531679604671,0.096029162053043,0.412745185426818,0.0553270788530138,0.5520867228089305,Welterweight,1986-10-30
adrian serrano,2000-06-09,adrian serrano,74.0,0.493,2.2652,0.5167469911743474,0.045,0.5831377513165824,0.0687,0.5273270691018316,Welterweight,
adrian yanez,2026-07-11,adrian yanez,70.0,0.4996407972961554,3.492710262620865,0.4555097569146771,0.0777956434690999,0.2810052014463473,0.0327873564516425,0.578699652389689,Bantamweight,1993-11-29
adriano martins,2017-09-09,adriano martins,72.0,0.4965568909082623,2.395822711568201,0.4395987774889812,0.0689693627295395,0.3565651119126508,0.0107065018180871,0.6283363556656326,Lightweight,1982-12-16
adriano santos,1998-10-16,adriano santos,75.0,,,,,,,,Middleweight,
aiemann zahabi,2026-06-14,aiemann zahabi,68.0,0.4976641649570051,3.383462210710679,0.5473933387040798,0.1405949061281607,0.3543086496738182,0.0190814385509578,0.5895163195473937,Bantamweight,1987-11-19
aj cunningham,2025-03-15,aj cunningham,71.0,0.493,1.689,0.4731791097214701,0.0776,0.3747305865860759,0.0107,0.5918075411958911,Bantamweight,1994-09-07
aj dobson,2024-03-23,aj dobson,76.0,0.5009893594695174,3.8684020001345063,0.5097098810113677,0.1548754393584654,0.368409291217445,0.0922568723655948,0.6130967559084183,Middleweight,1992-01-18
aj fletcher,2023-09-23,aj fletcher,67.0,0.496175087110292,3.830047857296263,0.4578226446654177,0.1594837025285345,0.3340016532832515,0.0230653185111584,0.6114793844306572,Welterweight,1997-02-18
akbarh arreola,2015-11-14,akbarh arreola,71.0,0.4984216578374028,2.6392224225344343,0.4282639092279732,0.053004058008883,0.3863946231261884,0.0591010778970079,0.6851320616401713,Lightweight,1983-01-14
akihiro gono,2009-01-31,akihiro gono,68.0,0.4954561195001767,2.571831719931419,0.4854737346232731,0.110682893462682,0.4049958872321783,0.0928423444803985,0.4787443552621865,Welterweight,1974-10-07
akira corassani,2015-01-24,akira corassani,68.0,0.4999808224812158,3.675606043611928,0.5113599386542791,0.0784652465964887,0.3350118754862511,0.0229538287625682,0.3867948933856381,Featherweight,1982-08-27
al iaquinta,2021-11-06,al iaquinta,70.0,0.4994996432735706,3.6261816603129153,0.4018643991386798,0.0483613526447081,0.3564278311209031,0.0166065262540586,0.6161959561277038,Lightweight,1987-04-30
alan baudot,2022-06-25,alan baudot,79.0,0.5023539269714651,4.200693166937833,0.5258779624191549,0.1599608158946119,0.3365825363669933,0.0313005366874794,0.953827573114895,Heavyweight,1988-02-01
alan belcher,2013-04-27,alan belcher,75.0,0.498109609401346,3.0122519384703814,0.3935005694140028,0.0867621509885312,0.3582919795011696,0.0212390999224224,0.6422634045521702,Middleweight,1984-04-24
alan jouban,2020-11-21,alan jouban,73.0,0.5000120120012268,4.174213318947071,0.4096473479867296,0.0639529783502145,0.3574880039458835,0.0124568644429657,0.6002934241883264,Welterweight,1981-11-25
alan omer,2015-06-20,alan omer,71.0,0.493,3.8493,0.396221077433084,0.0794,0.3800108046392547,0.0128,0.3922670729633906,Featherweight,1988-09-14
alan patrick,2022-05-14,alan patrick,74.0,0.5031113743825724,3.730279148269885,0.4127232591439609,0.088007670599026,0.3681342139175271,0.0431046655007054,0.5724184293338536,Lightweight,1983-07-19
alatengheili,2025-04-26,alatengheili,66.0,0.498493970887302,3.914610601694164,0.4444076123632106,0.0974576728966946,0.355420151410784,0.0314763552525654,0.5838215575849951,Bantamweight,1991-12-14
albert cheng,2014-03-01,albert cheng,74.0,,,,,,,,Welterweight,1985-02-07
albert duraev,2023-07-15,albert duraev,75.0,0.5024947586181793,3.116442571977477,0.3821745972969813,0.1182763722869138,0.3606679736818462,0.0212798129411448,0.6200075381505024,Middleweight,1989-01-05
albert morales,2018-02-24,albert morales,72.0,0.4968417827319922,3.7906591135834224,0.4443967247260086,0.0577940363486612,0.3689207115549114,0.0117623004344325,0.5886020157253405,Bantamweight,1991-05-25
albert tumenov,2016-10-08,albert tumenov,73.0,0.4982569830554884,2.585270193467453,0.5214718818682486,0.1623304313506691,0.3524240996164173,0.0174699053822936,0.5874164273651841,Welterweight,1991-12-26
alberto crane,2008-01-23,alberto crane,72.0,0.5001280345266841,2.9411021774201607,0.4378926153236155,0.1059912051688094,0.4423713793235156,0.0770944754467693,0.5730345155031656,Lightweight,
alberto mina,2018-05-12,alberto mina,77.0,0.507,3.971615607928128,0.4671139779243089,0.1340542181825737,0.3560026652048682,0.0119993414238169,0.5918553377632993,Welterweight,1982-05-02
alberto montes,2026-07-18,alberto montes,69.0,0.493,4.2287,0.5387175457978156,0.0691,0.3654837731270852,0.0246,0.3922670729633906,Featherweight,1994-05-31
alberto uda,2016-08-20,alberto uda,75.0,0.493,3.0382,0.4883711292104973,0.123,0.2880592513485318,0.015,0.6339365954150863,Middleweight,1984-08-08
alden coria,2026-07-18,alden coria,67.0,0.5069999999999999,4.087241495354543,0.2992771969840022,0.1209250253180084,0.364073200304402,0.0163242113124921,0.4362422669302396,Flyweight,1998-04-24
alejandro perez,2022-02-26,alejandro perez,67.0,0.5029162084393927,3.443752266795417,0.4257081147076988,0.074024064137362,0.3516880119984964,0.047651796200443,0.5831637910318336,Featherweight,1989-09-02
aleksa camur,2023-08-05,aleksa camur,74.0,0.5022206127000713,3.405310342075232,0.4995321513165736,0.1008899134400327,0.3835919900807464,0.0161747076605289,0.9218810538794188,Light Heavyweight,1995-09-25
aleksandar rakic,2026-08-01,aleksandar rakic,78.0,0.4958862271193027,3.817645817536718,0.4859674398478019,0.0562716138586278,0.3666130965465259,0.0134511381890733,0.7939620832156465,Heavyweight,1992-02-06
aleksandre topuria,2025-11-22,aleksandre topuria,68.0,0.498578700856044,3.741863947090281,0.450834324053121,0.1523091265115474,0.3563661873027008,0.0205649504257769,0.5851683137359949,Bantamweight,1996-01-28
aleksei kunchenko,2020-03-14,aleksei kunchenko,70.0,0.4963603353861957,3.252941916066989,0.4124658411910726,0.0993114138689446,0.3228871863312326,0.0243009467415506,0.5842344344578133,Welterweight,1984-05-02
aleksei oleinik,2022-10-01,aleksei oleinik,80.0,0.4995457211120833,3.2401228471570844,0.4239796732154915,0.0397592507597142,0.3725840098983056,0.0093981507376741,0.8584845572627615,Heavyweight,1977-06-20
alen amedovski,2022-09-17,alen amedovski,74.0,0.507,3.3843,0.5327297390501194,0.1189,0.2727639533806935,0.0092,0.6162978953960615,Middleweight,1988-04-06
alessandro costa,2026-07-11,alessandro costa,67.0,0.5021233371402838,3.977736903529673,0.4424784000653492,0.105330405845759,0.370225580129213,0.0394885708993669,0.5199534089991009,Flyweight,1996-01-28
alessio di chirico,2022-09-03,alessio di chirico,74.0,0.4978139493106331,3.398360271430276,0.4012977208334158,0.0852583798423515,0.3190790615408301,0.0155303740324562,0.6278714662867255,Middleweight,1989-12-12
alessio sakara,2013-10-26,alessio sakara,72.0,0.4975073814235625,3.826497884278988,0.4452399654918432,0.0763596406216175,0.3634638477501699,0.0179007817965546,0.6618515926989237,Middleweight,1981-09-02
alex andrade,2000-06-09,alex andrade,75.0,,,,,,,,Middleweight,
alex caceres,2024-05-11,alex caceres,73.0,0.5019610032102395,4.1768076987425,0.4166673639769099,0.0652027931214492,0.3426386661252675,0.0315936477287715,0.3972660136699117,Featherweight,1988-06-20
alex da silva,2022-06-04,alex da silva,73.0,0.4975761335837374,2.6144610146109994,0.5460792549558761,0.0567789256625092,0.4008497277902447,0.0124569239087414,0.6270594328742451,Lightweight,1996-02-04
alex garcia,2018-10-27,alex garcia,72.0,0.4997729720339784,2.517092657695276,0.4027902287065452,0.1824060302544801,0.3404337359840135,0.0214709777323714,0.6427659028099881,Welterweight,1987-07-14
alex gorgees,2018-12-01,alex gorgees,74.0,,,,,,,,Lightweight,1995-08-11
alex karalexis,2006-01-16,alex karalexis,66.0,0.507,3.868,0.4627229801379287,0.1603,0.3520558002936857,0.0196,0.6162978953960615,Welterweight,
alex morono,2026-02-07,alex morono,72.0,0.4991484288968082,4.54110352973013,0.4632282955271347,0.0516869182800528,0.4028403221773325,0.0224610297489527,0.6216791476926103,Welterweight,1990-08-16
alex nicholson,2017-05-28,alex nicholson,77.0,0.5002556059009788,2.6496297764557077,0.4383620612548035,0.0745525975464687,0.3104518502429969,0.0877005759445675,0.6262536120929849,Middleweight,1990-05-02
alex oliveira,2022-03-05,alex oliveira,76.0,0.4981313882609789,2.8860602812277483,0.5363707068727034,0.1700009033188838,0.3733356381370663,0.0760532764764851,0.6220318938672492,Welterweight,1988-02-21
alex pereira,2026-06-14,alex pereira,79.0,0.5042935100359005,4.712656936341038,0.4674741895474811,0.048772840932621,0.3187209440619742,0.0200857823435436,0.7376021263269128,Heavyweight,1987-07-07
alex perez,2026-05-30,alex perez,65.0,0.499291030031708,4.015010299282581,0.4144172914573545,0.1214323714277909,0.3748785895935249,0.0288217543745557,0.450652758168685,Flyweight,1992-03-21
alex reyes,2024-08-17,alex reyes,73.0,0.4995820474813827,4.680063261317658,0.5118338347214113,0.0783200858469411,0.3649439297903462,0.0229678921168881,0.6245463933056552,Lightweight,1986-10-02
alex ricci,2017-02-19,alex ricci,72.0,0.4994838693500898,3.204824631662516,0.4289832778019787,0.1236670830066428,0.360121612507138,0.0112149866249334,0.624669392368077,Lightweight,1982-07-21
alex schoenauer,2005-04-09,alex schoenauer,75.0,,,,,,,,Middleweight,
alex soto,2012-05-15,alex soto,69.0,0.493,4.0128,0.4687329862729728,0.0879,0.3563661873027008,0.0275,0.5918075411958911,Bantamweight,1984-02-15
alex stiebling,2000-11-17,alex stiebling,75.0,,,,,,,,Middleweight,
alex torres,2015-02-28,alex torres,71.0,,,,,,,,Featherweight,1988-05-29
alex white,2019-10-26,alex white,71.0,0.4995451224229798,3.696080249267336,0.4470294191384844,0.0860282782599772,0.3237018037478218,0.0457244554471463,0.5236655947910897,Lightweight,1988-10-22
alexander gustafsson,2022-07-23,alexander gustafsson,79.0,0.5020922249056596,2.88399677757448,0.5508363035933734,0.1332921439260216,0.3811004810556604,0.0574220852006945,0.7921238785370013,Light Heavyweight,1987-01-15
alexander hernandez,2026-04-25,alexander hernandez,72.0,0.4974560407559202,4.294313569419116,0.4855209200817034,0.0843489042539205,0.3959821796807675,0.0116671135171513,0.6272098870031898,Lightweight,1992-10-01
alexander munoz,2023-07-15,alexander munoz,72.0,0.493,3.905732604309335,0.4691809170654435,0.1516582004717251,0.3649439297903462,0.0103,0.6327924829221978,Lightweight,1990-02-27
alexander poppeck,2026-08-01,alexander poppeck,78.0,,,,,,,,Heavyweight,
alexander volkanovski,2026-01-31,alexander volkanovski,71.0,0.5023805081520885,5.082090389212398,0.45183875854827,0.1007466378131213,0.3563211923679727,0.0149589003852678,0.4423135297677403,Featherweight,1988-09-29
alexander volkov,2026-05-09,alexander volkov,80.0,0.50305353863777,4.140396224392312,0.5226946243099753,0.0539946287341972,0.3986279047709273,0.0172788505242084,0.9591956311029182,Heavyweight,1988-10-24
alexander yakovlev,2020-10-24,alexander yakovlev,74.0,0.4967620099001391,3.677427458948767,0.4267469746510343,0.1391665740617518,0.3649439297903462,0.0172882841068482,0.6280793794596944,Lightweight,1984-07-18
alexandr romanov,2024-11-02,alexandr romanov,75.0,0.5004813918843066,3.60645891958625,0.514646942146404,0.1500208601485549,0.4005932475673023,0.0296841504165183,0.9669770009019548,Heavyweight,1990-12-11
alexandre barros,2009-01-17,alexandre barros,74.0,0.4969644058273207,3.684199913539453,0.4605028333489673,0.0707878864655368,0.3986093864751242,0.0427234422892242,0.6269089361266462,Welterweight,1976-11-19
alexandre dantas,2003-02-28,alexandre dantas,78.0,0.4978199138282366,3.102489583838737,0.3806263868129952,0.0599302919858532,0.3387209215761058,0.027332091886039,0.965886996349536,Heavyweight,
alexandre ferreira,2010-11-13,alexandre ferreira,76.0,0.4984077679604795,2.922173715313611,0.395211094650119,0.0948293861504034,0.4371110013882676,0.0135668393139393,0.8044640924326305,Light Heavyweight,1979-04-25
alexandre pantoja,2025-12-06,alexandre pantoja,67.0,0.5060003946339581,3.834460289799536,0.5208350509978712,0.2131145543852292,0.3592801932687425,0.0699374293997603,0.4771795093036875,Flyweight,1990-04-16
alexis dufresne,2014-07-06,alexis dufresne,71.0,,,,,,,,Women's Bantamweight,1990-08-31
alfonso alcarez,1999-09-24,alfonso alcarez,72.0,,,,,,,,Lightweight,
ali alqaisi,2020-10-10,ali alqaisi,68.0,0.493,3.2108,0.4799916714766854,0.1211,0.3747305865860759,0.0542,0.584501275255201,Bantamweight,1990-09-23
ali bagautinov,2016-11-19,ali bagautinov,65.0,0.4951172504881822,2.8321422247079657,0.4549070493068952,0.1213928598948389,0.3973639188447401,0.0563631561408929,0.4542213802057386,Flyweight,1985-06-10
aliaskhab khizriev,2024-02-03,aliaskhab khizriev,74.0,0.507,4.6663,0.3922710833388978,0.1827,0.3073786682767206,0.081,0.6334844162262785,Middleweight,1990-08-24
alibi idiris,2026-02-21,alibi idiris,68.0,0.5017938437719061,3.127183406962816,0.4189143572078795,0.1264455422820015,0.3777612113828075,0.0586404354307082,0.5100065681097523,Flyweight,1994-10-22
alistair overeem,2021-02-06,alistair overeem,80.0,0.5025032021417133,3.98998212146266,0.5052182930151119,0.0762745710483507,0.3928684943749738,0.0161071888792575,0.9586711961412412,Heavyweight,1980-05-17
