name,dob,event_date,name_key,source
frankie edgar,1981-10-16,2007-07-07,frankie edgar,odds_frame
anderson silva,1975-04-14,2007-07-07,anderson silva,odds_frame
antonio rodrigo nogueira,1976-06-02,2007-07-07,antonio rodrigo nogueira,odds_frame
rashad evans,1979-09-25,2007-07-07,rashad evans,odds_frame
tito ortiz,1975-01-23,2007-07-07,tito ortiz,odds_frame
heath herring,1978-03-02,2007-07-07,heath herring,odds_frame
nate marquardt,1979-04-20,2007-07-07,nate marquardt,odds_frame
mark bocek,1981-10-24,2007-07-07,mark bocek,odds_frame
josh koscheck,1977-11-30,2007-08-25,josh koscheck,odds_frame
gabriel gonzaga,1979-05-18,2007-08-25,gabriel gonzaga,odds_frame
ryan jensen,1977-09-20,2007-08-25,ryan jensen,odds_frame
marcus aurelio,1973-08-18,2007-08-25,marcus aurelio,odds_frame
kendall grove,1982-11-12,2007-08-25,kendall grove,odds_frame
antoni hardonk,1976-02-05,2007-08-25,antoni hardonk,odds_frame
clay guida,1981-12-08,2007-08-25,clay guida,odds_frame
frank mir,1979-05-24,2007-08-25,frank mir,odds_frame
patrick cote,1980-02-29,2007-08-25,patrick cote,odds_frame
georges st-pierre,1981-05-19,2007-08-25,georges st pierre,odds_frame
randy couture,1963-06-22,2007-08-25,randy couture,odds_frame
thales leites,1981-09-06,2007-08-25,thales leites,odds_frame
naoyuki kotani,1981-12-08,2007-09-08,naoyuki kotani,odds_frame
tomasz drwal,1982-01-22,2007-09-08,tomasz drwal,odds_frame
terry etim,1986-01-11,2007-09-08,terry etim,odds_frame
alessio sakara,1981-09-02,2007-09-08,alessio sakara,odds_frame
cheick kongo,1975-05-17,2007-09-08,cheick kongo,odds_frame
dan henderson,1970-08-24,2007-09-08,dan henderson,odds_frame
thiago silva,1982-11-12,2007-09-08,thiago silva,odds_frame
dennis siver,1979-01-13,2007-09-08,dennis siver,odds_frame
houston alexander,1972-03-22,2007-09-08,houston alexander,odds_frame
matt hamill,1976-10-05,2007-09-08,matt hamill,odds_frame
gleison tibau,1983-10-07,2007-09-08,gleison tibau,odds_frame
mirko filipovic,1974-09-10,2007-09-08,mirko filipovic,odds_frame
quinton jackson,1978-06-20,2007-09-08,quinton jackson,odds_frame
michael bisping,1979-02-28,2007-09-08,michael bisping,odds_frame
terry martin,1980-10-10,2007-09-19,terry martin,odds_frame
junior assuncao,1981-06-24,2007-09-19,junior assuncao,odds_frame
cole miller,1984-04-26,2007-09-19,cole miller,odds_frame
thiago alves,1983-10-03,2007-09-19,thiago alves,odds_frame
gray maynard,1979-05-09,2007-09-19,gray maynard,odds_frame
chris leben,1980-07-21,2007-09-19,chris leben,odds_frame
joe veres,1977-11-09,2007-09-19,joe veres,odds_frame
kuniyoshi hironaka,1976-06-17,2007-09-19,kuniyoshi hironaka,odds_frame
leonard garcia,1979-07-14,2007-09-19,leonard garcia,odds_frame
nate diaz,1985-04-16,2007-09-19,nate diaz,odds_frame
michihiro omigawa,1975-12-19,2007-09-22,michihiro omigawa,odds_frame
forrest griffin,1979-03-16,2007-09-22,forrest griffin,odds_frame
jon fitch,1978-02-24,2007-09-22,jon fitch,odds_frame
lyoto machida,1978-05-30,2007-09-22,lyoto machida,odds_frame
tyson griffin,1984-04-20,2007-09-22,tyson griffin,odds_frame
rich clementi,1976-03-31,2007-09-22,rich clementi,odds_frame
jeremy stephens,1986-05-25,2007-09-22,jeremy stephens,odds_frame
diego saraiva,1982-04-23,2007-09-22,diego saraiva,odds_frame
matt wiman,1983-09-19,2007-09-22,matt wiman,odds_frame
mauricio rua,1981-11-25,2007-09-22,mauricio rua,odds_frame
diego sanchez,1981-12-31,2007-09-22,diego sanchez,odds_frame
kazuhiro nakamura,1979-07-16,2007-09-22,kazuhiro nakamura,odds_frame
thiago tavares,1984-11-08,2007-09-22,thiago tavares,odds_frame
anthony johnson,1984-03-06,2007-09-22,anthony johnson,odds_frame
forrest petz,1975-09-22,2007-10-20,forrest petz,odds_frame
ryan jensen,1977-09-20,2007-10-20,ryan jensen,odds_frame
alan belcher,1984-04-24,2007-10-20,alan belcher,odds_frame
jason black,1972-07-15,2007-10-20,jason black,odds_frame
kalib starnes,1975-01-06,2007-10-20,kalib starnes,odds_frame
tim sylvia,1976-03-05,2007-10-20,tim sylvia,odds_frame
rich franklin,1974-10-05,2007-10-20,rich franklin,odds_frame
jason macdonald,1975-06-03,2007-10-20,jason macdonald,odds_frame
anderson silva,1975-04-14,2007-10-20,anderson silva,odds_frame
matt grice,1981-07-29,2007-10-20,matt grice,odds_frame
brandon vera,1977-10-10,2007-10-20,brandon vera,odds_frame
demian maia,1977-11-06,2007-10-20,demian maia,odds_frame
joshua burkman,1980-04-10,2007-10-20,joshua burkman,odds_frame
yushin okami,1981-07-21,2007-10-20,yushin okami,odds_frame
ed herman,1980-10-02,2007-11-17,ed herman,odds_frame
frankie edgar,1981-10-16,2007-11-17,frankie edgar,odds_frame
thiago alves,1983-10-03,2007-11-17,thiago alves,odds_frame
thiago silva,1982-11-12,2007-11-17,thiago silva,odds_frame
michael bisping,1979-02-28,2007-11-17,michael bisping,odds_frame
houston alexander,1972-03-22,2007-11-17,houston alexander,odds_frame
rashad evans,1979-09-25,2007-11-17,rashad evans,odds_frame
spencer fisher,1976-05-09,2007-11-17,spencer fisher,odds_frame
chris lytle,1974-08-18,2007-11-17,chris lytle,odds_frame
joe doerksen,1977-10-09,2007-11-17,joe doerksen,odds_frame
jason reinhardt,1969-10-31,2007-11-17,jason reinhardt,odds_frame
akihiro gono,1974-10-07,2007-11-17,akihiro gono,odds_frame
joe lauzon,1984-05-22,2007-11-17,joe lauzon,odds_frame
tamdan mccrory,1986-11-05,2007-11-17,tamdan mccrory,odds_frame
mac danzig,1980-01-02,2007-12-08,mac danzig,odds_frame
ben saunders,1983-04-13,2007-12-08,ben saunders,odds_frame
george sotiropoulos,1977-07-09,2007-12-08,george sotiropoulos,odds_frame
roger huerta,1983-05-20,2007-12-08,roger huerta,odds_frame
tommy speer,1984-08-20,2007-12-08,tommy speer,odds_frame
dan barrera,1980-12-23,2007-12-08,dan barrera,odds_frame
billy miles,1978-04-28,2007-12-08,billy miles,odds_frame
clay guida,1981-12-08,2007-12-08,clay guida,odds_frame
mark bocek,1981-10-24,2007-12-29,mark bocek,odds_frame
roan carneiro,1978-06-02,2007-12-29,roan carneiro,odds_frame
rich clementi,1976-03-31,2007-12-29,rich clementi,odds_frame
eddie sanchez,1982-11-04,2007-12-29,eddie sanchez,odds_frame
chuck liddell,1969-12-17,2007-12-29,chuck liddell,odds_frame
matt hughes,1973-10-13,2007-12-29,matt hughes,odds_frame
wanderlei silva,1976-07-03,2007-12-29,wanderlei silva,odds_frame
soa palelei,1977-07-12,2007-12-29,soa palelei,odds_frame
melvin guillard,1983-03-30,2007-12-29,melvin guillard,odds_frame
tony desouza,1974-07-26,2007-12-29,tony desouza,odds_frame
doug evans,1980-10-10,2007-12-29,doug evans,odds_frame
georges st-pierre,1981-05-19,2007-12-29,georges st pierre,odds_frame
fabricio werdum,1977-07-30,2008-01-19,fabricio werdum,odds_frame
bj penn,1978-12-13,2008-01-19,bj penn,odds_frame
alessio sakara,1981-09-02,2008-01-19,alessio sakara,odds_frame
gabriel gonzaga,1979-05-18,2008-01-19,gabriel gonzaga,odds_frame
james lee,1973-09-22,2008-01-19,james lee,odds_frame
per eklund,,2008-01-19,per eklund,odds_frame
joe stevenson,1982-06-15,2008-01-19,joe stevenson,odds_frame
sam stout,1984-04-23,2008-01-19,sam stout,odds_frame
alvin robinson,1982-07-16,2008-01-23,alvin robinson,odds_frame
gray maynard,1979-05-09,2008-01-23,gray maynard,odds_frame
nate diaz,1985-04-16,2008-01-23,nate diaz,odds_frame
thiago tavares,1984-11-08,2008-01-23,thiago tavares,odds_frame
